"scientificName","decimalLongitude","decimalLatitude"
"Intellagama lesueurii",151.011687,-33.791882
"Intellagama lesueurii",150.821265,-33.581254
"Intellagama lesueurii",151.216744,-33.865711
"Intellagama lesueurii",152.977134,-27.476497
"Intellagama lesueurii",151.216169,-33.865944
"Intellagama lesueurii",149.108918,-35.278878
"Intellagama lesueurii",150.931292,-34.30568
"Intellagama lesueurii",152.977105,-27.477264
"Intellagama lesueurii",150.996161,-33.810213
"Intellagama lesueurii",151.21667,-33.865881
"Intellagama lesueurii",150.59645,-33.70491
"Intellagama lesueurii",153.083453,-27.841353
"Intellagama lesueurii",151.297351,-33.800889
"Intellagama lesueurii",148.183594,-32.546813
"Intellagama lesueurii",151.202647,-33.956069
"Intellagama lesueurii",150.7668,-34.0703
"Intellagama lesueurii",152.976914,-27.477212
"Intellagama lesueurii",150.678918,-33.61951
"Intellagama lesueurii",150.671,-33.757053
"Intellagama lesueurii",152.976724,-27.477062
"Intellagama lesueurii",151.035017,-33.794112
"Intellagama lesueurii",150.987726,-33.784331
"Intellagama lesueurii",150.802582,-33.613137
"Intellagama lesueurii",150.971917,-33.744468
"Intellagama lesueurii",151.299498,-33.806456
"Intellagama lesueurii",150.567537,-34.261371
"Intellagama lesueurii",152.97782,-27.474711
"Intellagama lesueurii",152.974473,-27.477305
"Intellagama lesueurii",145.638339,-16.816188
"Intellagama lesueurii",151.023216,-33.813892
"Intellagama lesueurii",151.298715,-33.800746
"Pogona barbata",153.565828,-28.200706
"Intellagama lesueurii",151.217132,-33.865961
"Intellagama lesueurii",150.791751,-33.767352
"Intellagama lesueurii",150.500577,-34.361319
"Intellagama lesueurii",147.65625,-32.546813
"Intellagama lesueurii",152.977851,-27.477001
"Intellagama lesueurii",151.215094,-33.866188
"Intellagama lesueurii",149.108918,-35.278878
"Intellagama lesueurii",151.008368,-33.791132
"Intellagama lesueurii",151.067871,-33.510931
"Intellagama lesueurii",150.914587,-33.939164
"Intellagama lesueurii",150.750503,-33.596513
"Intellagama lesueurii",151.296896,-33.819144
"Intellagama lesueurii",150.644216,-33.541958
"Intellagama lesueurii",152.926632,-29.684121
"Intellagama lesueurii",149.108918,-35.278878
"Intellagama lesueurii",151.028007,-33.810255
"Intellagama lesueurii",153.565828,-28.200706
"Intellagama lesueurii",117.911997,-35.052894
"Intellagama lesueurii",151.215727,-33.86918
"Intellagama lesueurii",151.216652,-33.865867
"Intellagama lesueurii",151.289414,-33.797948
"Chlamydosaurus kingii",136.1995,-13.782445
"Intellagama lesueurii",151.299503,-33.806505
"Intellagama lesueurii",151.239389,-33.55357
"Intellagama lesueurii",150.6282,-33.75698
"Intellagama lesueurii",151.248416,-33.838911
"Intellagama lesueurii",151.294625,-33.776197
"Pogona barbata",150.628892,-33.837498
"Intellagama lesueurii",151.205692,-33.756458
"Intellagama lesueurii",150.73993,-34.030619
"Intellagama lesueurii",149.110098,-35.277976
"Intellagama lesueurii",152.977101,-27.477212
"Ctenophorus caudicinctus",118.105325,-22.600978
"Intellagama lesueurii",151.299528,-33.806484
"Intellagama lesueurii",151.216703,-33.866085
"Intellagama lesueurii",150.61238,-34.176993
"Pogona barbata",115.735578,-32.541222
"Intellagama lesueurii",149.108449,-35.276233
"Chlamydosaurus kingii",151.027857,-33.809444
"Intellagama lesueurii",151.28007,-33.74356
"Intellagama lesueurii",151.164773,-33.720984
"Intellagama lesueurii",149.109728,-35.278987
"Pogona barbata",153.425699,-28.01726
"Chlamydosaurus kingii",132.399609,-14.507368
"Intellagama lesueurii",152.976035,-27.476884
"Intellagama lesueurii",151.007695,-33.791036
"Intellagama lesueurii",150.907559,-33.831745
"Intellagama lesueurii",150.672927,-33.752623
"Intellagama lesueurii",152.976717,-27.476967
"Intellagama lesueurii",152.977054,-27.477215
"Intellagama lesueurii",150.960646,-33.879482
"Intellagama lesueurii",151.044803,-34.180992
"Intellagama lesueurii",149.108476,-35.276444
"Intellagama lesueurii",152.977861,-27.474674
"Intellagama lesueurii",152.976735,-27.476927
"Pogona barbata",149.957811,-36.735926
"Pogona barbata",150.708372,-33.922832
"Intellagama lesueurii",151.005768,-33.702272
"Intellagama lesueurii",151.070426,-34.119303
"Intellagama lesueurii",150.905723,-34.225902
"Intellagama lesueurii",153.028867,-27.475715
"Intellagama lesueurii",149.108551,-35.273666
"Ctenophorus caudicinctus",117.005399,-32.366338
"Intellagama lesueurii",151.245674,-33.853205
"Intellagama lesueurii",150.958371,-33.903019
"Intellagama lesueurii",150.995998,-33.810193
"Intellagama lesueurii",151.381122,-33.467682
"Intellagama lesueurii",151.347757,-33.427625
"Intellagama lesueurii",150.789386,-34.065681
"Intellagama lesueurii",150.766234,-34.071102
"Intellagama lesueurii",151.119931,-34.006989
"Intellagama lesueurii",151.118442,-33.766047
"Intellagama lesueurii",152.977109,-27.477253
"Intellagama lesueurii",151.216308,-33.865819
"Intellagama lesueurii",152.976257,-27.476929
"Intellagama lesueurii",152.971444,-27.479445
"Intellagama lesueurii",151.005547,-33.82663
"Intellagama lesueurii",151.122431,-33.814614
"Intellagama lesueurii",151.094828,-34.044536
"Intellagama lesueurii",153.027177,-29.630867
"Intellagama lesueurii",153.313283,-27.907401
"Pogona barbata",151.883353,-27.558613
"Intellagama lesueurii",151.216689,-33.865908
"Intellagama lesueurii",151.050475,-33.718957
"Intellagama lesueurii",150.597036,-33.92324
"Intellagama lesueurii",150.117188,-35.029996
"Intellagama lesueurii",151.216304,-33.865816
"Intellagama lesueurii",152.335513,-24.854516
"Intellagama lesueurii",149.110012,-35.277783
"Intellagama lesueurii",151.225875,-33.755415
"Intellagama lesueurii",150.698154,-33.613869
"Intellagama lesueurii",152.976738,-27.477002
"Intellagama lesueurii",150.956134,-33.736149
