"X","Y"
150.650024,-22.857195
150.748832,-33.613944
130.894761,-12.373623
136.1995,-13.782445
151.027857,-33.809444
122.229971,-17.956594
143.386853,-12.614996
131.023917,-25.343067
150.748773,-33.613871
151.151583,-34.08392
132.399609,-14.507368
150.884066,-33.766905
144.406225,-14.91383
153.016068,-27.61257
143.530083,-13.440683
144.412702,-14.909033
149.31772,-25.16926
151.70106,-24.144253
145.246936,-15.469304
143.273785,-13.884489
142.37477,-11.20159
152.976667,-25.52
144.509444,-18.248333
146.205277,-18.981789
146.705289,-22.377611
153.301193,-24.955133
152.05941,-24.557417
150.198592,-26.014629
144.151111,-19.2525
152.484386,-24.96508
148.08215,-21.68651
143.292785,-13.373491
152.994427,-25.511478
150.155261,-25.448417
149.526089,-22.352596
153.291321,-24.991268
151.465008,-25.798879
145.651115,-18.61096
146.444,-19.10123
146.45762,-19.13221
150.75108,-26.098415
143.570616,-13.967487
150.461635,-23.155367
144.43444,-14.248482
153.026063,-27.056738
144.745833,-18.265833
147.298204,-20.460845
151.69899,-24.661281
145.80864,-20.674539
143.49262,-14.696317
146.676106,-19.405397
143.732507,-14.711538
142.881876,-13.020023
151.809392,-24.190086
146.703327,-19.21512
145.585469,-17.007595
153.282256,-25.166454
151.655228,-24.265086
153.31354,-24.956741
149.520139,-23.084722
153.051818,-25.548755
153.295249,-24.950638
143.295556,-13.706667
148.8525,-20.958889
142.462955,-11.663
142.729664,-13.091509
153.109392,-26.773405
146.705289,-22.377611
153.017724,-27.365063
146.42592,-19.1066
153.094182,-26.634656
153.017728,-26.848405
153.095,-26.4522
146.767771,-19.198453
146.444444,-19.105278
152.976154,-25.554173
149.836526,-25.067882
143.314883,-14.297077
146.75275,-19.20375
153.07567,-25.488241
150.684409,-23.248423
144.90832,-16.60165
145.216106,-15.678971
143.779083,-15.118111
153.325762,-24.967574
153.094182,-26.634656
144.743056,-18.292222
150.484393,-23.170645
143.199167,-13.733056
153.290288,-24.947035
150.384626,-26.356854
142.805619,-11.823998
150.75109,-26.098421
146.46526,-19.14133
145.374911,-18.547647
151.05107,-23.665088
150.58269,-24.918846
153.184378,-25.323407
146.751105,-22.315117
153.026063,-27.073405
142.611701,-12.710115
148.52513,-20.49018
142.705833,-12.724444
145.219139,-16.612028
143.59062,-14.973482
147.901133,-21.798883
150.4897,-23.2378
144.817778,-20.446389
153.077759,-25.953675
153.123689,-27.031339
