"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"co274","Museums Victoria DNA Laboratory","","Records provided by Museums Victoria DNA Laboratory, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co274","","","","5"
"co153","Queensland Museum Amphibians and Reptiles","","Records provided by Queensland Museum Amphibians and Reptiles, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co153","","","","116"
"dp52","Questagame","","Records provided by Questagame, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp52","","","","58"
"dr22499","Museum of Comparative Zoology, Harvard University","10.15468/p5rupv","doi:10.15468/p5rupv","CC BY-NC","For more information: https://collections.ala.org.au/public/show/dr22499","","","","4"
"dp3301","NatureMapr","","Records provided by NatureMapr, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3301","","","","1"
"dr8129","HerpMapper","10.15468/9tsf2l","HerpMapper. YEAR. HerpMapper - A Global Herp Atlas and Data Hub. Iowa, U.S.A. Available http://www.herpmapper.org. (Accessed: DD-MM-YYYY)","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr8129","Location data is generalized to the sub-state boundary, full resolution locations are available from HerpMapper upon request for conservation and research purposes.","As you may know, one of the things that sets HerpMapper apart from many other citizen-science database projects is that point-location data entered into HerpMapper are not shared publicly by HerpMapper. As such, HerpMapper Partners are discouraged from sharing point-location data publicly, even for common species, but HerpMapper acknowledges that in some cases this may be necessary to meet conservation and research objectives. HerpMapper encourages Partners to contact HerpMapper directly to discuss publication and sharing of these data to meet your needs while also best protecting herpetofauna populations. This also ensures that multiple organizations do not attempt to publish the same new and updated county records in Herpetological Review geographical distribution notes.","","2"
"co117","Museums Victoria Herpetology Collection","","Records provided by Museums Victoria Herpetology Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co117","","","","43"
"dr1010","ClimateWatch","10.15468/xlx9o4","Data accessed from ClimateWatch can be cited in the following format:
ClimateWatch <YEAR> <SPECIES> <START DATE> - <END DATE> 
Data set accessed <DATE> http://www.climatewatch.org.au.","Creative Commons Attribution (International) (CC-BY 3.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr1010","","","","15"
"dr1132","WildNet - Queensland Wildlife Data","10.15468/lxgoyb","Queensland Government","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr1132","","","","378"
"dr344","Queensland Museum provider for OZCAM","10.15468/lotsye","Queensland Museum, http://www.qm.qld.gov.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr344","","","","116"
